1;CHINESE, MANDARIN;CHN
2;SPANISH;SPN
3;ENGLISH;ENG
4;BENGALI;BNG
5;HINDI;HND
6;PORTUGUESE;POR
7;RUSSIAN;RUS
8;JAPANESE;JPN
9;GERMAN, STANDARD;GER
10;CHINESE, WU;WUU
11;JAVANESE;JAN
12;KOREAN;KKN
13;FRENCH;FRN
14;VIETNAMESE;VIE
15;TELUGU;TCW
16;CHINESE, YUE;YUH
17;MARATHI;MRT
18;TAMIL;TCV
19;TURKISH;TRK
20;URDU;URD
21;CHINESE, MIN NAN;CFR
22;CHINESE, JINYU;CJY
23;GUJARATI;GJR
24;POLISH;PQL
25;ARABIC, EGYPTIAN SPOKEN;ARZ
26;UKRAINIAN;UKR
27;ITALIAN;ITN
28;CHINESE, XIANG;HSN
29;MALAYALAM;MJS
30;CHINESE, HAKKA;HAK
31;KANNADA;KJV
32;ORIYA;ORY
33;PANJABI, WESTERN;PNB
34;SUNDA;SUO
35;PANJABI, EASTERN;PNJ
36;ROMANIAN;RUM
37;BHOJPURI;BHJ
38;AZERBAIJANI, SOUTH;AZB
39;FARSI, WESTERN;PES
40;MAITHILI;MKP
41;HAUSA;HUA
42;ARABIC, ALGERIAN SPOKEN;ARQ
43;BURMESE;BMS
44;SERBO-CROATIAN;SRC
45;CHINESE, GAN;KNN
46;AWADHI;AWD
47;THAI;THJ
48;DUTCH;DUT
49;YORUBA;YOR
50;SINDHI;SND
51;ARABIC, MOROCCAN SPOKEN;ARY
52;ARABIC, SAIDI SPOKEN;AEC
53;UZBEK, NORTHERN;UZB
54;MALAY;MLI
55;AMHARIC;AMH
56;INDONESIAN;INZ
57;IGBO;IGR
58;TAGALOG;TGL
59;NEPALI;NEP
60;ARABIC, SUDANESE SPOKEN;APD
61;SARAIKI;SKR
62;CEBUANO;CEB
63;ARABIC, NORTH LEVANTINE SPOKEN;APC
64;THAI, NORTHEASTERN;TTS
65;ASSAMESE;ASM
66;HUNGARIAN;HNG
67;CHITTAGONIAN;CIT
68;ARABIC, MESOPOTAMIAN SPOKEN;ACM
69;MADURA;MHJ
70;SINHALA;SNH
71;HARYANVI;BGC
72;MARWARI;MKD
73;CZECH;CZC
74;GREEK;GRK
75;MAGAHI;MQM
76;CHHATTISGARHI;HNE
77;DECCAN;DCC
78;CHINESE, MIN BEI;MNP
79;BELARUSAN;RUW
80;ZHUANG, NORTHERN;CCX
81;ARABIC, NAJDI SPOKEN;ARS
82;PASHTO, NORTHERN;PBU
83;SOMALI;SOM
84;MALAGASY;MEX
85;ARABIC, TUNISIAN SPOKEN;AEB
86;RWANDA;RUA
87;ZULU;ZUU
88;BULGARIAN;BLG
89;SWEDISH;SWD
90;LOMBARD;LMO
91;OROMO, WEST-CENTRAL;GAZ
92;PASHTO, SOUTHERN;PBT
93;KAZAKH;KAZ
94;ILOCANO;ILO
95;TATAR;TTR
96;FULFULDE, NIGERIAN;FUV
97;ARABIC, SANAANI SPOKEN;AYN
98;UYGHUR;UIG
99;HAITIAN CREOLE FRENCH;HAT
100;AZERBAIJANI, NORTH;AZE
101;NAPOLETANO-CALABRESE;NPL
102;KHMER, CENTRAL;KMR
103;FARSI, EASTERN;PRS
104;AKAN;TWS
105;HILIGAYNON;HIL
106;KURMANJI;KUR
107;SHONA;SHD
